metabolomics_id,hmmf_panel,compound,value
LD_037_04,PFBBr,2-methylbutyrate,0.02792
LD_037_04,PFBBr,3-aminoisobutyrate,0.02792
LD_037_04,PFBBr,4-methylvalerate,0.02792
LD_037_04,PFBBr,5-aminovalerate,0.02792
LD_037_04,PFBBr,acetate,8.43625
LD_037_04,PFBBr,alanine,8.43711
LD_037_04,PFBBr,aspartate,0.84843
LD_037_04,PFBBr,benzoate,1.01487
LD_037_04,PFBBr,butyrate,0.08575
LD_037_04,PFBBr,catechol,0.02792
LD_037_04,PFBBr,crotonate,0.02792
LD_037_04,PFBBr,cysteine,1.01749
LD_037_04,PFBBr,desaminotyrosine,0.02792
LD_037_04,PFBBr,dopamine,0.02792
LD_037_04,PFBBr,glutamate,1.16017
LD_037_04,PFBBr,glycine,54.21851
LD_037_04,PFBBr,hexanoate,0.04886
LD_037_04,PFBBr,histamine,0.02792
LD_037_04,PFBBr,hydrocinnamate,0.02792
LD_037_04,PFBBr,indole-3-acetate,0.02792
LD_037_04,PFBBr,indole-3-carboxaldehyde,0.02792
LD_037_04,PFBBr,indole-3-propionate,0.02792
LD_037_04,PFBBr,isobutyrate,0.02792
LD_037_04,PFBBr,isoleucine,38.62458
LD_037_04,PFBBr,isovaleric acid,0.02792
LD_037_04,PFBBr,itaconate,0.02792
LD_037_04,PFBBr,leucine,41.48046
LD_037_04,PFBBr,lysine,2.51206
LD_037_04,PFBBr,methionine,0.76098
LD_037_04,PFBBr,palmitate,31.26083
LD_037_04,PFBBr,p-cresol,0.02792
LD_037_04,PFBBr,phenol,0.02792
LD_037_04,PFBBr,phenylacetate,0.02792
LD_037_04,PFBBr,phenylalanine,7.59254
LD_037_04,PFBBr,proline,17.35283
LD_037_04,PFBBr,propionate,0.05073
LD_037_04,PFBBr,serine,0.02792
LD_037_04,PFBBr,succinate,0.03002
LD_037_04,PFBBr,synephrine,0.02792
LD_037_04,PFBBr,threonine,0.02792
LD_037_04,PFBBr,toluate,0.02792
LD_037_04,PFBBr,trans-indole-3-acrylate,0.02792
LD_037_04,PFBBr,tryptamine,0.02792
LD_037_04,PFBBr,tryptophan,0.08094
LD_037_04,PFBBr,tyramine,3.23916
LD_037_04,PFBBr,tyrosine,0.02792
LD_037_04,PFBBr,valerate,0.02792
LD_037_04,PFBBr,valine,81.48884
LD_037_04,PFBBr,vanillin,0.02792
LD_060_05,PFBBr,2-methylbutyrate,0.00632
LD_060_05,PFBBr,3-aminoisobutyrate,0.006
LD_060_05,PFBBr,4-methylvalerate,0.006
LD_060_05,PFBBr,5-aminovalerate,0.006
LD_060_05,PFBBr,acetate,0.38334
LD_060_05,PFBBr,alanine,28.02039
LD_060_05,PFBBr,aspartate,1.01243
LD_060_05,PFBBr,benzoate,0.57608
LD_060_05,PFBBr,butyrate,0.02676
LD_060_05,PFBBr,catechol,0.006
LD_060_05,PFBBr,crotonate,0.006
LD_060_05,PFBBr,cysteine,0.82106
LD_060_05,PFBBr,desaminotyrosine,0.006
LD_060_05,PFBBr,dopamine,0.006
