metabolomics_id,hmmf_panel,compound,value
HT_099_02,PFBBr,2-methylbutyrate,7.28085
HT_099_02,PFBBr,3-aminoisobutyrate,0.0
HT_099_02,PFBBr,4-methylvalerate,0.25114
HT_099_02,PFBBr,5-aminovalerate,0.88938
HT_099_02,PFBBr,acetate,5.75941
HT_099_02,PFBBr,alanine,2.63743
HT_099_02,PFBBr,aspartate,0.0
HT_099_02,PFBBr,benzoate,0.26044
HT_099_02,PFBBr,butyrate,12.15433
HT_099_02,PFBBr,catechol,0.0
HT_099_02,PFBBr,crotonate,0.37359
HT_099_02,PFBBr,cysteine,0.23988
HT_099_02,PFBBr,desaminotyrosine,0.0
HT_099_02,PFBBr,dopamine,0.0
HT_099_02,PFBBr,glutamate,0.23988
HT_099_02,PFBBr,glycine,1.9644
HT_099_02,PFBBr,hexanoate,9.40259
HT_099_02,PFBBr,histamine,0.0
HT_099_02,PFBBr,hydrocinnamate,0.0
HT_099_02,PFBBr,indole-3-acetate,0.0
HT_099_02,PFBBr,indole-3-carboxaldehyde,0.0
HT_099_02,PFBBr,indole-3-propionate,0.0
HT_099_02,PFBBr,isobutyrate,5.72538
HT_099_02,PFBBr,isoleucine,2.93242
HT_099_02,PFBBr,isovaleric acid,8.41625
HT_099_02,PFBBr,itaconate,0.0
HT_099_02,PFBBr,leucine,2.43325
HT_099_02,PFBBr,lysine,0.0
HT_099_02,PFBBr,methionine,0.0
HT_099_02,PFBBr,palmitate,16.06921
HT_099_02,PFBBr,p-cresol,8.86173
HT_099_02,PFBBr,phenol,0.0
HT_099_02,PFBBr,phenylacetate,1.52696
HT_099_02,PFBBr,phenylalanine,0.68775
HT_099_02,PFBBr,proline,0.86448
HT_099_02,PFBBr,propionate,5.39899
HT_099_02,PFBBr,serine,0.0
HT_099_02,PFBBr,succinate,0.0
HT_099_02,PFBBr,synephrine,0.0
HT_099_02,PFBBr,threonine,0.0
HT_099_02,PFBBr,toluate,0.0
HT_099_02,PFBBr,trans-indole-3-acrylate,0.0
HT_099_02,PFBBr,tryptamine,0.0
HT_099_02,PFBBr,tryptophan,0.0
HT_099_02,PFBBr,tyramine,0.0
HT_099_02,PFBBr,tyrosine,0.0
